tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group1,9132.0,0.886441,8048.0,13497.1126
16,Group1,6520.0,0.970898,6272.0,13406.5467
16,Group2,7421.0,0.876062,6496.0,13371.9208
16,Group2,1476.0,0.978926,1440.0,13495.5903
16,Group2,6898.0,0.849681,5856.0,13437.1517
8,Group2,6.0,0.0,0.0,398.5789
8,Group1,243.0,0.0,240.0,403.3084
8,Group2,12.0,0.0,0.0,400.9344
8,Group2,8.0,0.0,0.0,400.2098
8,Group2,6.0,0.0,0.0,392.4468
8,Group1,636.0,0.0,0.0,408.2037
8,Group1,243.0,0.0,0.0,405.7919
8,Group1,840.0,0.0,0.0,270.3182
8,Group1,511.0,0.941176,240.0,502.8012
8,Group1,1022.0,0.862176,832.0,487.9043
8,Group1,898.0,0.732394,624.0,504.7128
8,Group2,460.0,0.0,0.0,498.262
8,Group2,231.0,0.0,0.0,79.6564
8,Group1,973.0,0.334728,240.0,499.8329
8,Group2,507.0,0.0,0.0,199.8317
8,Group2,55.0,0.0,0.0,495.6114
8,Group1,1803.0,0.333333,512.0,1094.1234
8,Group2,96.0,0.527473,48.0,373.3341
8,Group1,1884.0,0.593692,960.0,1090.245
8,Group2,1005.0,0.496,496.0,384.7295
8,Group1,1089.0,0.89332,896.0,395.6002
8,Group2,774.0,0.291287,224.0,176.8881
8,Group2,942.0,0.478122,448.0,1094.3318
8,Group1,1141.0,0.908927,1008.0,371.1155
8,Group1,2839.0,0.633439,1792.0,1720.829
8,Group2,1716.0,0.551724,944.0,1723.9938
8,Group1,2123.0,0.589517,1136.0,1709.4465
8,Group2,1038.0,0.96124,992.0,1715.6977
8,Group2,996.0,0.774975,768.0,1711.6424
8,Group1,1275.0,0.876712,1088.0,177.164
8,Group2,471.0,0.206009,96.0,1704.5041
8,Group1,2540.0,0.746245,1888.0,1685.057
8,Group1,3884.0,0.73254,2832.0,2157.6273
8,Group1,1649.0,0.788522,1264.0,1352.7678
8,Group2,2747.0,0.624362,1712.0,626.9446
8,Group2,1110.0,0.926697,1024.0,1345.4971
8,Group2,1489.0,0.668464,992.0,2159.9709
8,Group1,2218.0,0.963943,2112.0,1339.8072
8,Group2,504.0,0.92986,464.0,1343.398
8,Group1,3452.0,0.736168,2528.0,1348.9993
8,Group2,2520.0,0.59165,1488.0,2107.515
8,Group1,4592.0,0.799075,3456.0,2119.2963
8,Group2,1153.0,0.961672,1104.0,71.7628
8,Group2,3778.0,0.725152,2736.0,2103.6456
8,Group1,2439.0,0.93401,2208.0,3373.5228
8,Group1,5177.0,0.788595,3872.0,3382.3413
8,Group2,530.0,0.944762,496.0,2122.5215
8,Group1,1878.0,0.926884,1648.0,3379.7378
8,Group2,4809.0,0.786012,3776.0,5408.8511
8,Group1,2366.0,0.830892,1872.0,410.4675
8,Group2,1561.0,0.339332,528.0,2662.8111
8,Group1,6483.0,0.83328,5168.0,2659.0509
8,Group1,3596.0,0.701876,2432.0,5416.0824
8,Group2,3551.0,0.708404,2512.0,2638.4921
8,Group1,5899.0,0.817373,4592.0,5392.5652
8,Group2,1176.0,0.983775,1152.0,2641.4057
8,Group1,7795.0,0.863079,6480.0,6658.834
8,Group2,5840.0,0.822622,4800.0,6667.6111
8,Group1,4645.0,0.775422,3584.0,2567.1852
8,Group1,6765.0,0.911392,5904.0,3978.1879
