estimated_prefill_fraction,tenant_count,turn_index,tenant_id,history_limit_tokens,ttft_ms,blocking_ms,estimated_prefill_ms,estimated_remaining_ttft_ms,input_tokens,prefix_hit_tokens,computation_tokens
0.5,32,5,26,12288,16704.6322,0.1018,8352.2652,8352.2652,2710.0,2000.0,710.0
0.5,32,5,25,12288,16660.408,0.0333,8330.18735,8330.18735,2710.0,2000.0,710.0
0.5,32,5,18,12288,48078.2693,0.1028,24039.08325,24039.08325,2710.0,2000.0,710.0
0.5,32,5,3,24576,48038.3973,0.0851,24019.1561,24019.1561,8994.0,6912.0,2082.0
0.5,32,5,22,12288,16729.4222,0.1728,8364.6247,8364.6247,2711.0,2000.0,711.0
0.5,32,5,19,12288,16718.1306,0.1192,8359.0057,8359.0057,2707.0,2000.0,707.0
0.5,32,5,7,24576,16721.8944,0.1558,8360.8693,8360.8693,8975.0,6832.0,2143.0
0.5,32,5,24,12288,16716.1898,0.1387,8358.02555,8358.02555,2710.0,2000.0,710.0
0.5,32,5,5,24576,48077.4851,0.1206,24038.682249999998,24038.682249999998,9174.0,6944.0,2230.0
0.5,32,5,9,24576,48110.6035,0.1581,24055.2227,24055.2227,8973.0,6832.0,2141.0
0.5,32,5,21,12288,16784.0786,0.2428,8391.9179,8391.9179,2710.0,2000.0,710.0
0.5,32,5,6,24576,16758.2114,0.2075,8379.00195,8379.00195,9240.0,7168.0,2072.0
0.5,32,5,12,24576,25936.1863,0.0163,12968.085000000001,12968.085000000001,8974.0,6832.0,2142.0
0.5,32,5,29,12288,25908.6843,0.0202,12954.33205,12954.33205,2746.0,2160.0,586.0
0.5,32,5,23,12288,16687.8526,0.0504,8343.9011,8343.9011,2710.0,2000.0,710.0
0.5,32,5,1,24576,48140.2056,0.1781,24070.013750000002,24070.013750000002,9047.0,6944.0,2103.0
0.5,32,5,13,24576,16770.8598,0.2248,8385.3175,8385.3175,8975.0,6832.0,2143.0
0.5,32,5,14,24576,54157.9469,9281.3956,22438.275650000003,22438.275650000003,8975.0,6832.0,2143.0
0.5,32,5,16,24576,54190.7249,0.0339,27095.3455,27095.3455,8853.0,6608.0,2245.0
0.5,32,5,15,24576,48010.88,0.0508,24005.4146,24005.4146,8974.0,6832.0,2142.0
0.5,32,5,8,24576,25868.3598,0.007,12934.176399999998,12934.176399999998,8975.0,6832.0,2143.0
0.5,32,5,4,24576,16813.13,0.2867,8406.42165,8406.42165,8992.0,6912.0,2080.0
0.5,32,5,11,24576,48044.0795,0.0678,24022.00585,24022.00585,8974.0,6832.0,2142.0
0.5,32,6,8,24576,71443.1136,25895.7176,22773.697999999997,22773.697999999997,11168.0,8960.0,2208.0
0.5,32,6,20,12288,29932.444,0.5458,14965.9491,14965.9491,3389.0,2704.0,685.0
0.5,32,6,31,12288,52806.1707,58.5424,26373.814150000002,26373.814150000002,3402.0,2736.0,666.0
0.5,32,6,29,12288,52842.2259,58.5753,26391.8253,26391.8253,3403.0,2736.0,667.0
0.5,32,6,17,12288,52916.6263,0.3606,26458.13285,26458.13285,3389.0,2704.0,685.0
0.5,32,6,19,12288,52915.1789,58.6687,26428.2551,26428.2551,3386.0,2704.0,682.0
0.5,32,6,27,12288,52900.2901,58.6265,26420.8318,26420.8318,3972.0,3392.0,580.0
0.5,32,6,18,12288,52903.9172,58.6511,26422.63305,26422.63305,3389.0,2704.0,685.0
0.5,32,6,21,12288,71426.5211,25895.7012,22765.40995,22765.40995,3389.0,48.0,3341.0
0.5,32,6,4,24576,29841.5234,0.467,14920.528199999999,14920.528199999999,11309.0,8992.0,2317.0
0.5,32,6,13,24576,71541.338,58.458,35741.44,35741.44,11169.0,8960.0,2209.0
0.5,32,6,11,24576,29803.2702,0.4151,14901.42755,14901.42755,11168.0,8960.0,2208.0
0.5,32,6,32,12288,71487.3016,25895.7668,22795.767400000004,22795.767400000004,3403.0,2736.0,667.0
0.5,32,6,2,24576,52859.5993,58.5923,26400.503500000003,26400.503500000003,11475.0,9344.0,2131.0
0.5,32,6,1,24576,29807.6891,0.4323,14903.6284,14903.6284,11197.0,9040.0,2157.0
0.5,32,6,3,24576,71502.6186,25895.7838,22803.4174,22803.4174,11311.0,8992.0,2319.0
0.5,32,6,10,24576,4071.6846,0.0287,2035.82795,2035.82795,11168.0,8960.0,2208.0
0.5,32,6,26,12288,52769.6942,58.4912,26355.6015,26355.6015,3389.0,2704.0,685.0
0.5,32,6,15,24576,52765.0017,58.5078,26353.24695,26353.24695,11168.0,8960.0,2208.0
0.5,32,6,9,24576,71508.5657,25895.8004,22806.382650000003,22806.382650000003,11167.0,8960.0,2207.0
0.5,32,6,5,24576,29879.3401,0.5033,14939.4184,14939.4184,11440.0,9168.0,2272.0
0.5,32,6,6,24576,29930.0766,0.5222,14964.7772,14964.7772,11346.0,9232.0,2114.0
0.5,32,6,14,24576,52798.9212,58.5258,26370.197699999997,26370.197699999997,11169.0,8960.0,2209.0
0.5,32,6,16,24576,71445.7197,25895.734,22774.992850000002,22774.992850000002,11068.0,8848.0,2220.0
0.5,32,6,12,24576,52864.2252,58.6095,26402.80785,26402.80785,11168.0,8960.0,2208.0
0.5,32,6,7,24576,29769.644,0.378,14884.633,14884.633,11169.0,8960.0,2209.0
0.5,32,6,28,12288,29876.8164,0.4845,14938.16595,14938.16595,3799.0,3280.0,519.0
0.5,32,6,30,12288,29773.2283,0.3975,14886.4154,14886.4154,3402.0,2736.0,666.0
0.5,32,6,23,12288,52726.1278,58.4745,26333.826650000003,26333.826650000003,3389.0,2704.0,685.0
0.5,32,6,22,12288,29848.5177,0.4497,14924.034,14924.034,3390.0,2704.0,686.0
0.5,32,6,25,12288,52839.7936,58.559,26390.617299999998,26390.617299999998,3389.0,2704.0,685.0
0.5,32,6,24,12288,71486.4858,25895.7505,22795.36765,22795.36765,3389.0,1936.0,1453.0
0.5,32,7,1,24576,253447.049,216885.3385,18280.855249999993,18280.855249999993,13360.0,0.0,13360.0
0.5,32,7,21,12288,52787.7882,92.3814,26347.703400000002,26347.703400000002,4016.0,3376.0,640.0
0.5,32,7,18,12288,52812.5503,92.4433,26360.0535,26360.0535,4015.0,48.0,3967.0
0.5,32,7,28,12288,68598.8981,29774.4445,19412.226800000004,19412.226800000004,4319.0,0.0,4319.0
0.5,32,7,32,12288,97916.1259,47801.12,25057.50295,25057.50295,4129.0,48.0,4081.0
0.5,32,7,29,12288,79703.7654,29774.3865,24964.68945,24964.68945,4130.0,48.0,4082.0
0.5,32,7,30,12288,52790.5571,92.3985,26349.079299999998,26349.079299999998,4128.0,48.0,4080.0
0.5,32,7,25,12288,68603.1913,29774.4279,19414.381700000005,19414.381700000005,4016.0,48.0,3968.0
0.5,32,7,17,12288,106363.9275,74820.5925,15771.667500000003,15771.667500000003,4016.0,48.0,3968.0
0.5,32,7,22,12288,79649.7859,47801.1534,15924.31625,15924.31625,4017.0,48.0,3969.0
0.5,32,7,26,12288,253437.7142,228441.9262,12497.894,12497.894,4016.0,48.0,3968.0
0.5,32,7,15,24576,34978.1475,0.5755,17488.786,17488.786,13309.0,11168.0,2141.0
0.5,32,7,23,12288,106321.167,74820.5757,15750.29565,15750.29565,4016.0,48.0,3968.0
0.5,32,7,19,12288,79683.0626,47801.1754,15940.943600000002,15940.943600000002,4013.0,48.0,3965.0
0.5,32,7,24,12288,34984.3393,0.5994,17491.86995,17491.86995,4016.0,3376.0,640.0
0.5,32,7,7,24576,35010.2646,0.6261,17504.81925,17504.81925,13310.0,11168.0,2142.0
0.5,32,7,4,24576,5294.7794,0.0374,2647.371,2647.371,13639.0,11312.0,2327.0
0.5,32,7,27,12288,34940.6028,0.5321,17470.035350000002,17470.035350000002,4496.0,3968.0,528.0
0.5,32,7,10,24576,68617.9632,29774.4697,19421.74675,19421.74675,13309.0,11168.0,2141.0
0.5,32,7,6,24576,35024.1973,0.6511,17511.7731,17511.7731,13591.0,11344.0,2247.0
0.5,32,7,11,24576,52797.4403,92.4215,26352.509400000003,26352.509400000003,13307.0,11168.0,2139.0
0.5,32,7,12,24576,97908.6982,63670.3597,17119.16925,17119.16925,13309.0,11168.0,2141.0
0.5,32,7,3,24576,52876.4586,92.4613,26391.998649999998,26391.998649999998,13642.0,11296.0,2346.0
0.5,32,7,14,24576,34888.0632,0.512,17443.775599999997,17443.775599999997,13310.0,11168.0,2142.0
0.5,32,7,8,24576,68548.5201,29774.4061,19387.056999999997,19387.056999999997,13309.0,11168.0,2141.0
0.5,32,7,9,24576,34890.3812,0.4948,17444.9432,17444.9432,13308.0,11152.0,2156.0
0.5,32,7,2,24576,34943.4212,0.5548,17471.4332,17471.4332,13656.0,11472.0,2184.0
0.5,32,7,13,24576,68624.0259,92.3614,34265.83225,34265.83225,13310.0,11168.0,2142.0
0.5,32,7,5,24576,106365.6521,63670.3403,21347.6559,21347.6559,13510.0,0.0,13510.0
0.5,32,7,16,24576,79640.7036,47801.1367,15919.783449999995,15919.783449999995,13231.0,11056.0,2175.0
