exp_label,turn_index,tenant_id,group_label,prefill_ms,computation_tokens,first_token_ts,rank_in_batch,delay_from_earliest_first_token_ms,delta_from_prev_delay_ms
exp2,3,31,Group2,5997.5228,1283.0,0.0,21,0.0,0.0
exp2,3,8,Group1,6032.965999999999,1290.0,0.0,22,0.0,0.0
exp2,3,27,Group2,5988.906199999999,1042.0,0.0,23,0.0,0.0
exp2,3,1,Group1,5911.156,178.0,0.0,24,0.0,0.0
exp2,3,29,Group2,5960.220899999999,271.0,0.0,25,0.0,0.0
exp2,4,20,Group2,473.86109999999996,727.0,0.0,1,0.0,0.0
exp2,4,26,Group2,9768.341300000002,519.0,0.0,2,0.0,0.0
exp2,4,17,Group2,9750.340699999999,639.0,0.0,3,0.0,0.0
exp2,4,22,Group2,9798.5083,463.0,0.0,4,0.0,0.0
exp2,4,16,Group1,9736.195,310.0,0.0,5,0.0,0.0
exp2,4,27,Group2,9843.564099999998,1117.0,0.0,6,0.0,0.0
exp2,4,21,Group2,9782.070000000002,1252.0,0.0,7,0.0,0.0
exp2,4,10,Group1,1477.9280999999996,1274.0,0.0,8,0.0,0.0
exp2,4,12,Group1,9764.0824,1269.0,0.0,9,0.0,0.0
exp2,4,30,Group2,9782.8887,1113.0,0.0,10,0.0,0.0
exp2,4,23,Group2,9807.8835,1256.0,0.0,11,0.0,0.0
exp2,4,18,Group2,9794.450700000001,1258.0,0.0,12,0.0,0.0
exp2,4,13,Group1,9790.3343,1265.0,0.0,13,0.0,0.0
exp2,4,8,Group1,9750.938999999998,1272.0,0.0,14,0.0,0.0
exp2,4,9,Group1,9816.4081,1275.0,0.0,15,0.0,0.0
exp2,4,3,Group1,9818.5611,1038.0,0.0,16,0.0,0.0
exp2,4,7,Group1,9811.306,328.0,0.0,17,0.0,0.0
exp2,4,31,Group2,9839.8546,1114.0,0.0,18,0.0,0.0
exp2,4,24,Group2,15573.917,1252.0,0.0,19,0.0,0.0
exp2,4,29,Group2,9753.8846,386.0,0.0,20,0.0,0.0
exp2,4,6,Group1,1480.4122999999997,1057.0,0.0,21,0.0,0.0
exp2,5,7,Group1,1412.4473,164.0,0.0,1,0.0,0.0
exp2,5,4,Group1,12912.929399999999,1054.0,0.0,2,0.0,0.0
exp2,5,32,Group2,1067.1342000000002,1099.0,0.0,3,0.0,0.0
exp2,5,1,Group1,12964.6831,114.0,0.0,4,0.0,0.0
exp2,5,14,Group1,12951.331699999999,1116.0,0.0,5,0.0,0.0
exp2,5,9,Group1,12917.182999999999,1121.0,0.0,6,0.0,0.0
exp2,5,6,Group1,12898.1998,1038.0,0.0,7,0.0,0.0
exp2,5,25,Group2,1428.5384999999999,442.0,0.0,8,0.0,0.0
