exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp1,9,slowest,11,Group1,31,31992.117100016912,33658.6621,1175.0,8536.0,0.864615739140454
exp1,9,slowest,6,Group1,32,32006.774300010875,33616.998199999995,1061.0,7753.0,0.8636422053720602
exp1,10,fastest,28,Group2,1,0.0,1830.1571999999999,1034.0,9285.0,0.8886975242195909
exp1,10,fastest,9,Group1,2,1787.5209000194445,3619.6076,1115.0,9701.0,0.8860733626238888
exp1,10,fastest,31,Group2,3,23371.411600033753,25201.0762,1044.0,8478.0,0.8769448373408769
exp1,10,fastest,15,Group1,4,23379.79020003695,25211.0381,1116.0,9862.0,0.887816646562123
exp1,10,slowest,3,Group1,17,23589.99540001969,25422.2227,1047.0,8140.0,0.8715495031284505
exp1,10,slowest,18,Group2,18,23599.274100008188,25429.9828,1039.0,9274.0,0.8880267270179977
exp1,10,slowest,26,Group2,19,23632.907400024123,25462.792100000002,1036.0,3302.0,0.686819830713422
exp1,10,slowest,10,Group1,20,38427.24869999802,40259.0296,1117.0,9863.0,0.8877274097899286
exp2,1,fastest,28,Group2,1,0.0,48.428999999999995,15.0,0.0,0.0
exp2,1,fastest,8,Group1,2,6.415000039851293,56.83559999999999,50.0,0.0,0.0
exp2,1,fastest,11,Group1,3,28.57140000560321,78.7004,2.0,0.0,0.96
exp2,1,fastest,17,Group2,4,37.96720001264475,87.4966,6.0,0.0,0.0
exp2,1,slowest,24,Group2,29,289.90640002302825,338.6618,7.0,0.0,0.0
exp2,1,slowest,20,Group2,30,293.4359000355471,342.6272,12.0,0.0,0.0
exp2,1,slowest,4,Group1,31,308.73889999929816,359.4759,3.0,0.0,0.9876543209876543
exp2,1,slowest,19,Group2,32,329.70270002260804,378.89239999999995,6.0,0.0,0.0
exp2,2,fastest,3,Group1,1,0.0,169.6952,421.0,405.0,0.3630862329803328
exp2,2,fastest,30,Group2,2,1746.9943999894895,1913.9870999999998,699.0,693.0,0.0
exp2,2,fastest,1,Group1,3,1750.6729000015184,1920.5855000000001,384.0,962.0,0.6190476190476191
exp2,2,fastest,24,Group2,4,1752.8059000032954,1920.3399,1038.0,1033.0,0.0
exp2,2,slowest,27,Group2,29,3126.861099997768,3294.0982,1039.0,1033.0,0.0
exp2,2,slowest,28,Group2,30,3135.4901999875437,3302.6353,1046.0,1041.0,0.0
exp2,2,slowest,10,Group1,31,3135.579899972072,3304.564,403.0,311.0,0.10643015521064302
exp2,2,slowest,8,Group1,32,3139.6802999952342,3308.8376,459.0,367.0,0.09467455621301775
exp2,3,fastest,1,Group1,1,0.0,315.8085,410.0,1332.0,0.7108603667136812
exp2,3,fastest,30,Group2,2,4666.897399991285,4979.665,30.0,712.0,0.958217270194986
exp2,3,fastest,11,Group1,3,4667.588999989675,4982.2386,1294.0,1318.0,0.1820480404551201
exp2,3,fastest,4,Group1,4,4676.767799974186,4992.1011,1298.0,2551.0,0.5393896380411639
exp2,3,slowest,20,Group2,29,6887.833899992984,7166.047199999999,60.0,87.0,0.34782608695652173
exp2,3,slowest,26,Group2,30,6888.213300000643,7165.8106,47.0,986.0,0.9525731584258325
exp2,3,slowest,10,Group1,31,6889.693399978569,7168.8577000000005,1293.0,1477.0,0.257323377369328
exp2,3,slowest,18,Group2,32,6900.169899978209,7214.153999999999,1045.0,2064.0,0.49492508458192364
exp2,4,fastest,29,Group2,1,0.0,109.60000000000001,97.0,1500.0,0.935548172757475
exp2,4,fastest,22,Group2,2,36.76109999651089,147.0792,95.0,250.0,0.6274509803921569
exp2,4,fastest,18,Group2,3,2043.4534999949392,2154.1695,1035.0,3094.0,0.6660212971926428
exp2,4,fastest,21,Group2,4,2063.312300015241,2173.7019999999998,1034.0,1845.0,0.4410810810810811
exp2,4,slowest,16,Group1,28,10982.518799981335,11093.114800000001,368.0,612.0,0.5576923076923077
exp2,4,slowest,14,Group1,29,10987.295700004324,11098.0458,1270.0,2025.0,0.4385499557913351
exp2,4,slowest,15,Group1,30,10994.048700027633,11104.7248,1274.0,2765.0,0.5756162558294471
exp2,4,slowest,8,Group1,31,11724.310800025705,11835.999000000002,1267.0,2822.0,0.585812356979405
exp2,5,fastest,22,Group2,1,0.0,122.0105,75.0,326.0,0.7734138972809668
exp2,5,fastest,8,Group1,2,2175.696300022537,2299.1353,1113.0,4085.0,0.7330295034780523
exp2,5,fastest,16,Group1,3,2184.514099993976,2307.1463999999996,245.0,885.0,0.7725162488393686
exp2,5,fastest,1,Group1,4,2200.5686000047717,2324.6863000000003,256.0,2690.0,0.9064327485380117
exp2,5,slowest,30,Group2,29,13584.928600001149,13705.8058,17.0,747.0,0.9774236387782205
exp2,5,slowest,10,Group1,30,13591.238499997417,13714.0947,1122.0,4030.0,0.7272727272727273
exp2,5,slowest,24,Group2,31,13594.48309999425,13715.9152,629.0,2862.0,0.7807598466364587
exp2,5,slowest,21,Group2,32,13756.64630002575,13878.776,1041.0,2876.0,0.6386671294689344
exp2,6,fastest,1,Group1,1,0.0,339.3003,283.0,2919.0,0.906260351109639
exp2,6,fastest,29,Group2,2,440.1820999919437,776.7043,1038.0,2681.0,0.6135517498138496
exp2,6,fastest,25,Group2,3,13697.798200009856,14034.5815,74.0,1188.0,0.9380234505862647
exp2,6,fastest,15,Group1,4,13705.518000002485,14043.2734,1170.0,5138.0,0.7784929950776222
exp2,6,slowest,31,Group2,21,13873.806599993259,14209.7217,1044.0,4350.0,0.7603305785123967
exp2,6,slowest,13,Group1,22,19740.183799993247,20078.295400000003,1184.0,5760.0,0.7994579945799458
exp2,6,slowest,22,Group2,23,19744.648799998686,20081.8358,87.0,402.0,0.7862407862407862
exp2,6,slowest,32,Group2,24,19837.112000008347,20173.2113,777.0,2307.0,0.6640726329442282
exp2,7,fastest,17,Group2,1,0.0,1095.63,1040.0,5019.0,0.7929936305732485
exp2,7,fastest,21,Group2,2,852.7169000299182,1947.9741000000001,1040.0,4939.0,0.7896440129449838
exp2,7,fastest,20,Group2,3,861.3880000193603,1956.7342,41.0,324.0,0.8753799392097265
exp2,7,fastest,25,Group2,4,16175.522300007287,17270.183500000003,1042.0,2220.0,0.531895777178796
exp2,7,slowest,6,Group1,19,16329.392400017241,17425.690300000002,1229.0,5417.0,0.7810440049884197
exp2,7,slowest,7,Group1,20,16344.376499997452,17440.554700000004,1117.0,7074.0,0.8441032798325192
exp2,7,slowest,4,Group1,21,16349.916400009533,17446.3708,1306.0,7217.0,0.8258202187249933
exp2,7,slowest,8,Group1,22,24496.471100021154,25592.852,1128.0,6365.0,0.8252788104089219
exp2,8,fastest,29,Group2,1,0.0,1013.9743000000001,1035.0,4742.0,0.7819675584579735
exp2,8,fastest,25,Group2,2,18157.33250003541,19171.473,1034.0,3252.0,0.6826273787599755
exp2,8,fastest,7,Group1,3,18179.941000038525,19195.847599999997,1281.0,8191.0,0.848096762717894
exp2,8,fastest,22,Group2,4,18184.075700002722,19198.499200000002,146.0,619.0,0.7667731629392971
exp2,8,slowest,30,Group2,29,30983.58170001302,31943.5036,38.0,864.0,0.9563218390804598
exp2,8,slowest,12,Group1,30,31011.544200009666,31973.208599999998,1273.0,6487.0,0.8108188438103731
exp2,8,slowest,8,Group1,31,31015.624900028342,31977.710700000003,1276.0,7482.0,0.8348006214396686
exp2,8,slowest,31,Group2,32,31043.17700001411,32056.734400000005,1044.0,6414.0,0.8373831775700935
exp2,9,fastest,18,Group2,1,0.0,1665.994,1033.0,8244.0,0.8747726997211783
exp2,9,fastest,28,Group2,2,18406.04520001216,20070.873400000004,1044.0,8255.0,0.8736077481840193
exp2,9,fastest,8,Group1,3,18412.367700017057,20079.1607,1181.0,8750.0,0.867198920499269
exp2,9,fastest,1,Group1,4,18416.181000007782,20083.6573,380.0,4647.0,0.9196956889264581
exp2,9,slowest,31,Group2,29,31968.620600004215,33576.361600000004,1036.0,7446.0,0.8609769189479335
exp2,9,slowest,3,Group1,30,31985.69940001471,33596.2056,105.0,7105.0,0.9852382960776044
exp2,9,slowest,11,Group1,31,31992.117100016912,33658.6621,1175.0,8536.0,0.864615739140454
exp2,9,slowest,6,Group1,32,32006.774300010875,33616.998199999995,1061.0,7753.0,0.8636422053720602
exp2,10,fastest,28,Group2,1,0.0,1830.1571999999999,1034.0,9285.0,0.8886975242195909
exp2,10,fastest,9,Group1,2,1787.5209000194445,3619.6076,1115.0,9701.0,0.8860733626238888
exp2,10,fastest,31,Group2,3,23371.411600033753,25201.0762,1044.0,8478.0,0.8769448373408769
exp2,10,fastest,15,Group1,4,23379.79020003695,25211.0381,1116.0,9862.0,0.887816646562123
exp2,10,slowest,3,Group1,17,23589.99540001969,25422.2227,1047.0,8140.0,0.8715495031284505
exp2,10,slowest,18,Group2,18,23599.274100008188,25429.9828,1039.0,9274.0,0.8880267270179977
exp2,10,slowest,26,Group2,19,23632.907400024123,25462.792100000002,1036.0,3302.0,0.686819830713422
exp2,10,slowest,10,Group1,20,38427.24869999802,40259.0296,1117.0,9863.0,0.8877274097899286
exp3,1,fastest,28,Group2,1,0.0,48.428999999999995,15.0,0.0,0.0
exp3,1,fastest,8,Group1,2,6.415000039851293,56.83559999999999,50.0,0.0,0.0
exp3,1,fastest,11,Group1,3,28.57140000560321,78.7004,2.0,0.0,0.96
exp3,1,fastest,17,Group2,4,37.96720001264475,87.4966,6.0,0.0,0.0
exp3,1,slowest,24,Group2,29,289.90640002302825,338.6618,7.0,0.0,0.0
exp3,1,slowest,20,Group2,30,293.4359000355471,342.6272,12.0,0.0,0.0
exp3,1,slowest,4,Group1,31,308.73889999929816,359.4759,3.0,0.0,0.9876543209876543
exp3,1,slowest,19,Group2,32,329.70270002260804,378.89239999999995,6.0,0.0,0.0
exp3,2,fastest,3,Group1,1,0.0,169.6952,421.0,405.0,0.3630862329803328
exp3,2,fastest,30,Group2,2,1746.9943999894895,1913.9870999999998,699.0,693.0,0.0
exp3,2,fastest,1,Group1,3,1750.6729000015184,1920.5855000000001,384.0,962.0,0.6190476190476191
exp3,2,fastest,24,Group2,4,1752.8059000032954,1920.3399,1038.0,1033.0,0.0
exp3,2,slowest,27,Group2,29,3126.861099997768,3294.0982,1039.0,1033.0,0.0
exp3,2,slowest,28,Group2,30,3135.4901999875437,3302.6353,1046.0,1041.0,0.0
exp3,2,slowest,10,Group1,31,3135.579899972072,3304.564,403.0,311.0,0.10643015521064302
exp3,2,slowest,8,Group1,32,3139.6802999952342,3308.8376,459.0,367.0,0.09467455621301775
exp3,3,fastest,1,Group1,1,0.0,315.8085,410.0,1332.0,0.7108603667136812
