exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,prefix_hit_rate,kv_history_tokens,resident_kv_mib,computation_tokens,prefill_ms,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_pressure_ratio,estimated_prefill_rounds_ratio,joint_compute_x_pressure,joint_compute_x_rounds,compute_over_hit_ratio,context_plus_compute
exp1,2,22,Group2,1125.0,48.0,0.042666666666666665,1073.0,33.53125,1077.0,3521.8257000000003,22553.0,731.34375,0.714202880859375,2.7530517578125,769.1965026855469,2965.0367431640625,22.4375,2150.0
exp1,2,8,Group1,1216.0,64.0,0.05263157894736842,1076.0,33.625,1152.0,3440.8332,22553.0,731.34375,0.714202880859375,2.7530517578125,822.76171875,3171.515625,18.0,2228.0
exp1,2,21,Group2,1125.0,48.0,0.042666666666666665,1073.0,33.53125,1077.0,3524.701,22553.0,731.34375,0.714202880859375,2.7530517578125,769.1965026855469,2965.0367431640625,22.4375,2150.0
exp1,2,20,Group2,263.0,48.0,0.18250950570342206,211.0,6.59375,215.0,3523.3911,22553.0,731.34375,0.714202880859375,2.7530517578125,153.55361938476562,591.9061279296875,4.479166666666667,426.0
exp1,2,19,Group2,134.0,48.0,0.3582089552238806,82.0,2.5625,86.0,3484.6887000000006,22553.0,731.34375,0.714202880859375,2.7530517578125,61.42144775390625,236.762451171875,1.7916666666666667,168.0
exp1,2,7,Group1,794.0,48.0,0.060453400503778336,654.0,20.4375,746.0,3457.1149,22553.0,731.34375,0.714202880859375,2.7530517578125,532.7953491210938,2053.776611328125,15.541666666666666,1400.0
exp1,2,29,Group2,364.0,48.0,0.13186813186813187,120.0,3.75,316.0,4455.9526000000005,22553.0,731.34375,0.714202880859375,2.7530517578125,225.6881103515625,869.96435546875,6.583333333333333,436.0
exp1,3,3,Group1,2818.0,1520.0,0.5393896380411639,2551.0,79.71875,1298.0,5937.0392,27649.0,1548.9375,1.51263427734375,3.3751220703125,1963.3992919921875,4380.908447265625,0.8539473684210527,3849.0
exp1,3,26,Group2,2037.0,1120.0,0.5498281786941581,1895.0,59.21875,917.0,5975.3631000000005,27649.0,1548.9375,1.51263427734375,3.3751220703125,1387.0856323242188,3094.9869384765625,0.81875,2812.0
exp1,3,22,Group2,2292.0,1120.0,0.4886561954624782,2150.0,67.1875,1172.0,9151.6734,27649.0,1548.9375,1.51263427734375,3.3751220703125,1772.807373046875,3955.64306640625,1.0464285714285715,3322.0
