exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp2,9,slowest,15,Group1,7,52853.38990698801,52852.64419199666,17743.0,17648.0,0.0026979933674329717
exp2,10,fastest,23,Group2,1,0.0,3833.611332986038,6054.0,5944.0,0.007866273352999017
exp2,10,slowest,15,Group1,6,57379.32929804083,57378.64552100655,19879.0,19841.0,0.0024087920911326343
exp3,1,fastest,8,Group1,1,0.0,47.47226001927629,50.0,0.0,0.0
exp3,1,fastest,28,Group2,2,135.83744398783892,162.29747998295352,586.0,0.0,0.0
exp3,1,fastest,14,Group1,3,135.83744398783892,162.29747998295352,2.0,0.0,0.96
exp3,1,fastest,21,Group2,4,164.22142699593678,164.0662929858081,15.0,0.0,0.6808510638297872
exp3,1,slowest,6,Group1,29,595.332375029102,458.9599320315756,8.0,0.0,0.9904761904761905
exp3,1,slowest,3,Group1,30,595.332375029102,458.9599320315756,3.0,0.0,0.9876543209876543
exp3,1,slowest,11,Group1,31,595.332375029102,458.9599320315756,2.0,0.0,0.96
exp3,1,slowest,17,Group2,32,595.332375029102,458.9599320315756,15.0,0.0,0.6808510638297872
exp3,2,fastest,2,Group1,1,0.0,976.787289022468,2115.0,2890.0,0.2823210044112657
exp3,2,fastest,13,Group1,2,1453.9681999594904,2395.676715997979,2192.0,2100.0,0.02142857142857143
exp3,2,fastest,26,Group2,3,1453.9681999594904,2395.676715997979,565.0,561.0,0.07830342577487764
exp3,2,fastest,23,Group2,4,1453.9681999594904,2395.676715997979,564.0,560.0,0.0784313725490196
exp3,2,slowest,12,Group1,14,6474.552437954117,6473.930570995435,2192.0,2100.0,0.02142857142857143
exp3,2,slowest,3,Group1,15,6474.552437954117,6473.930570995435,2302.0,2286.0,0.0944138473642801
exp3,2,slowest,7,Group1,16,6474.552437954117,6473.930570995435,2192.0,2100.0,0.02142857142857143
exp3,2,slowest,19,Group2,17,10850.654790003318,10850.032923044637,564.0,560.0,0.0784313725490196
exp3,3,fastest,21,Group2,1,0.0,283.6763510131277,661.0,1127.0,0.4791174152876281
exp3,3,fastest,26,Group2,2,383.9914139825851,642.0100859832019,661.0,1127.0,0.4791174152876281
exp3,3,fastest,32,Group2,3,383.9914139825851,642.0100859832019,769.0,1323.0,0.5098789037603569
exp3,3,fastest,27,Group2,4,9794.224214972928,9793.553692987189,530.0,2251.0,0.7652790079716564
exp3,3,slowest,8,Group1,13,9794.224214972928,9793.553692987189,2314.0,4290.0,0.4918752744839701
exp3,3,slowest,13,Group1,14,9794.224214972928,9793.553692987189,2313.0,4289.0,0.49198330770920273
exp3,3,slowest,14,Group1,15,9794.224214972928,9793.553692987189,2312.0,4288.0,0.492091388400703
exp3,3,slowest,10,Group1,16,20267.698935000226,20267.028413014486,2314.0,4290.0,0.4918752744839701
exp3,4,fastest,29,Group2,1,0.0,396.063395019155,602.0,2085.0,0.7225806451612903
exp3,4,fastest,18,Group2,2,2901.8127400195226,3259.717208042275,740.0,1784.0,0.6307385229540918
exp3,4,fastest,28,Group2,3,2901.8127400195226,3259.717208042275,532.0,2717.0,0.8046989720998532
exp3,4,fastest,10,Group1,4,2901.8127400195226,3259.717208042275,2296.0,6603.0,0.664327485380117
exp3,4,slowest,5,Group1,13,17695.92108397046,17695.2651469619,2407.0,6593.0,0.6537188893684363
exp3,4,slowest,6,Group1,14,17695.92108397046,17695.2651469619,2095.0,7153.0,0.708339134066546
