exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,4,13,Group1,0.0173,2720.0,1456.0,0.5352941176470588,1264.0,2483.0,1314.7708999999998,132041.3160882,3,0.10714285714285714,595.8573999814689
exp1,4,29,Group2,0.3506,551.0,208.0,0.37749546279491836,343.0,546.0,7997.9301000000005,132048.0011807,21,0.75,7280.949899984989
exp1,5,9,Group1,0.4732,3100.0,2192.0,0.7070967741935484,908.0,3016.0,11674.3843,132061.67575750002,25,0.9615384615384616,10609.21930000768
exp1,5,4,Group1,0.03,2570.0,2112.0,0.8217898832684825,458.0,2552.0,1544.5282,132051.5449582,5,0.19230769230769232,478.419999970356
exp1,5,1,Group1,0.0073,2092.0,1840.0,0.8795411089866156,252.0,2046.0,1518.0404999999998,132051.5181478,2,0.07692307692307693,451.6095999861136
exp1,5,11,Group1,0.2011,4453.0,3328.0,0.7473613294408264,1125.0,4369.0,11573.1798,132061.5744809,10,0.38461538461538464,10507.942699972773
exp1,5,21,Group2,0.1665,4133.0,3104.0,0.7510283087345754,1029.0,4128.0,11557.950200000001,132061.56021670002,8,0.3076923076923077,10493.678500002716
exp1,5,28,Group2,0.2337,4136.0,3104.0,0.7504835589941973,1032.0,4131.0,11588.6412,132061.59167489997,12,0.46153846153846156,10525.136699958239
exp1,5,14,Group1,0.0302,4878.0,3760.0,0.7708077080770808,1118.0,4794.0,1065.108,132051.06653820002,1,0.038461538461538464,0.0
exp1,5,12,Group1,0.3417,2198.0,1920.0,0.8735213830755232,278.0,2114.0,11622.934799999999,132061.6244765,18,0.6923076923076923,10557.938299985835
exp1,5,2,Group1,0.2172,3457.0,2400.0,0.6942435637836274,1057.0,3430.0,11578.2115,132061.57862870002,11,0.4230769230769231,10512.090500007616
exp1,5,30,Group2,0.2743,4134.0,3088.0,0.7469762941461054,1046.0,4128.0,11596.4714,132061.5997457,14,0.5384615384615384,10533.207499975106
exp1,5,15,Group1,0.4484,4346.0,3232.0,0.7436723423838012,1114.0,4262.0,11652.295399999999,132061.6542438,23,0.8846153846153846,10587.705599988112
exp1,5,25,Group2,0.4291,743.0,512.0,0.6890982503364738,231.0,737.0,11651.8631,132061.6547922,24,0.9230769230769231,10588.253999972949
exp1,5,18,Group2,0.411,3397.0,2368.0,0.6970856638210186,1029.0,3392.0,11636.7698,132061.6389808,22,0.8461538461538461,10572.442599979695
exp1,5,5,Group1,0.3081,3375.0,2176.0,0.6447407407407407,1199.0,3203.0,11605.2115,132061.6060196,16,0.6153846153846154,10539.48139998829
exp1,5,7,Group1,0.1341,4298.0,3184.0,0.7408096789204281,1114.0,4214.0,11542.2504,132061.5430845,7,0.2692307692307692,10476.54629999306
exp1,5,3,Group1,0.2573,4895.0,3840.0,0.7844739530132788,1055.0,4877.0,11597.321,132061.5978783,13,0.5,10531.340099987574
exp1,5,13,Group1,0.1178,3830.0,2720.0,0.7101827676240209,1110.0,3746.0,13344.4666,132063.3458844,26,1.0,12279.346199997235
exp1,5,31,Group2,0.2914,4127.0,3088.0,0.7482432759874,1039.0,4121.0,11600.4953,132061.6038867,15,0.5769230769230769,10537.348499987274
exp1,5,6,Group1,0.1505,2358.0,1312.0,0.556403731976251,1046.0,2347.0,11540.3886,132061.5411391,6,0.23076923076923078,10474.600899993675
exp1,5,19,Group2,0.1826,2945.0,1904.0,0.6465195246179966,1041.0,2940.0,11559.779499999999,132061.5618621,9,0.34615384615384615,10495.323899987852
exp1,5,16,Group1,0.325,1468.0,1040.0,0.7084468664850136,428.0,1276.0,11608.1164,132061.61004139998,17,0.6538461538461539,10543.503199965926
exp1,5,20,Group2,0.3756,215.0,112.0,0.5209302325581395,103.0,210.0,11626.7259,132061.6291015,19,0.7307692307692307,10562.563299987232
exp1,5,23,Group2,0.0203,1329.0,1168.0,0.8788562829194884,161.0,1323.0,1539.6752999999999,132051.54199559998,4,0.15384615384615385,475.45739996712655
exp1,5,26,Group2,0.3943,1444.0,1248.0,0.8642659279778393,196.0,1438.0,11632.8707,132061.63586500002,21,0.8076923076923077,10569.326800003182
exp1,5,24,Group2,0.3588,655.0,512.0,0.7816793893129771,143.0,648.0,11628.4857,132061.6312445,20,0.7692307692307693,10564.706299977843
exp1,5,10,Group1,0.0134,1886.0,1488.0,0.7889713679745494,398.0,1802.0,1535.9243999999999,132051.5369378,3,0.11538461538461539,470.3995999880135
exp1,6,31,Group2,0.3592,5159.0,4128.0,0.8001550688117852,1031.0,5153.0,13161.010999999999,132073.1644702,11,0.34375,12480.829300009646
exp1,6,26,Group2,43.8564,1509.0,1440.0,0.9542743538767395,69.0,1503.0,18812.819900000002,132078.8592763,25,0.78125,18175.635400024476
exp1,6,22,Group2,43.8725,2958.0,2928.0,0.9898580121703854,30.0,2953.0,18816.651400000002,132078.86272389998,26,0.8125,18179.082999995444
exp1,6,23,Group2,0.2609,1360.0,1328.0,0.9764705882352941,32.0,1354.0,13089.677,132073.09223789998,5,0.15625,12408.597000001464
exp1,6,17,Group2,43.7913,696.0,544.0,0.7816091954022989,152.0,691.0,18782.451699999998,132078.82794299998,21,0.65625,18144.30210000137
exp1,6,1,Group1,43.9207,2264.0,2080.0,0.9187279151943463,184.0,2164.0,18850.4459,132078.8944666,28,0.875,18210.825700021815
exp1,6,24,Group2,43.8399,841.0,656.0,0.7800237812128419,185.0,836.0,18783.066000000003,132078.8293059,23,0.71875,18145.665000018198
exp1,6,32,Group2,0.0157,1661.0,1616.0,0.9729078868151716,45.0,1655.0,709.8683,132060.71308400002,2,0.0625,29.443100036587566
exp1,6,12,Group1,0.4279,3103.0,2192.0,0.706413148565904,911.0,2959.0,13204.7181,132073.206346,14,0.4375,12522.70510001108
exp1,6,16,Group1,0.0304,2659.0,1456.0,0.5475742760436254,1203.0,2494.0,682.0105,132060.68364089998,1,0.03125,0.0
exp1,6,4,Group1,0.2932,3576.0,2560.0,0.7158836689038032,1016.0,3309.0,13110.8322,132073.1115254,7,0.21875,12427.884500008076
exp1,6,11,Group1,0.3095,5622.0,4448.0,0.7911775168979011,1174.0,5478.0,13131.3462,132073.1327557,8,0.25,12449.11480002338
exp1,6,9,Group1,0.2449,4270.0,3088.0,0.7231850117096019,1182.0,4126.0,13085.2591,132073.086404,4,0.125,12402.76310002082
exp1,6,8,Group1,0.5053,4498.0,3328.0,0.7398843930635838,1170.0,4354.0,13258.946399999999,132073.2602517,19,0.59375,12576.610800024355
exp1,6,28,Group2,0.4449,5167.0,4128.0,0.7989161989549062,1039.0,5162.0,13225.562,132073.22880689998,16,0.5,12545.165999996243
exp1,6,20,Group2,43.8885,240.0,208.0,0.8666666666666667,32.0,235.0,18820.1097,132078.8659982,27,0.84375,18182.3573000147
exp1,6,13,Group1,0.2121,5000.0,3824.0,0.7648,1176.0,4856.0,18920.240200000004,132078.9217523,32,1.0,18238.11140001635
exp1,6,14,Group1,0.3776,6048.0,4864.0,0.8042328042328042,1184.0,5904.0,13176.092599999998,132073.17787020002,12,0.375,12494.229300034931
exp1,6,27,Group2,43.8076,2924.0,2496.0,0.853625170998632,428.0,2918.0,18789.819,132078.83632660002,24,0.75,18152.68570004264
exp1,6,19,Group2,0.2285,3975.0,2944.0,0.74062893081761,1031.0,3970.0,13071.8306,132073.0739591,3,0.09375,12390.318200021284
exp1,6,21,Group2,0.3425,5165.0,4128.0,0.7992255566311713,1037.0,5159.0,13157.336,132073.1597785,10,0.3125,12476.13760002423
exp1,6,2,Group1,43.8235,4558.0,3456.0,0.7582272926722247,1102.0,4483.0,18784.0861,132078.8281096,22,0.6875,18144.46870001848
exp1,6,7,Group1,43.9369,5468.0,4288.0,0.7841989758595465,1180.0,5324.0,18859.417500000003,132078.90405440002,30,0.9375,18220.413500035647
exp1,6,3,Group1,43.775,6188.0,4896.0,0.7912087912087912,1292.0,5921.0,18768.5113,132078.81258630002,20,0.625,18128.945400036173
exp1,6,18,Group2,0.4109,4428.0,3392.0,0.7660343270099368,1036.0,4423.0,13206.3951,132073.208606,15,0.46875,12524.965100019472
exp1,6,15,Group1,0.326,5516.0,4336.0,0.7860768672951414,1180.0,5372.0,13136.3783,132073.13820430002,9,0.28125,12454.56340003875
exp1,6,10,Group1,0.3942,2731.0,1872.0,0.685463200292933,859.0,2587.0,13178.9088,132073.180303,13,0.40625,12496.66210002033
exp1,6,29,Group2,0.2772,597.0,560.0,0.9380234505862647,37.0,592.0,13106.9312,132073.1101084,6,0.1875,12426.46750001586
exp1,6,6,Group1,0.4627,3441.0,2352.0,0.6835222319093287,1089.0,3384.0,13229.5953,132073.230658,17,0.53125,12547.017100005178
exp1,6,25,Group2,43.9046,1774.0,736.0,0.41488162344983087,1038.0,1768.0,18852.384599999998,132078.8987892,29,0.90625,18215.14830001979
exp1,6,30,Group2,43.9547,5165.0,4128.0,0.7992255566311713,1037.0,5159.0,18860.2956,132078.9072503,31,0.96875,18223.6094000109
exp1,6,5,Group1,0.4812,4617.0,3376.0,0.7312107429066493,1241.0,4402.0,13252.8397,132073.2538209,18,0.5625,12570.180000009714
exp1,7,4,Group1,0.426,4626.0,3568.0,0.7712926934716818,1058.0,4345.0,15464.093200000001,132085.4649192,20,0.8,14879.671999980928
exp1,7,23,Group2,0.1485,1402.0,1360.0,0.9700427960057061,42.0,1396.0,15332.7996,132085.3352481,8,0.32,14750.00089997775
exp1,7,24,Group2,0.3091,977.0,832.0,0.8515864892528148,145.0,972.0,15395.589899999999,132085.398299,12,0.48,14813.051799981622
exp1,7,1,Group1,0.0088,2458.0,2256.0,0.9178193653376729,202.0,2345.0,1709.3626,132071.7094714,2,0.08,1124.2242000007536
exp1,7,26,Group2,0.0451,2541.0,1504.0,0.5918929555293192,1037.0,2535.0,582.6021000000001,132070.5852472,1,0.04,0.0
