tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group1,11311.0,0.814198,8992.0,24423.9351
16,Group2,3487.0,0.842357,2816.0,24429.6706
16,Group2,3488.0,0.842105,2816.0,636.3092
16,Group1,13642.0,0.846643,11312.0,32001.9303
16,Group1,13310.0,0.844845,11168.0,32043.4437
16,Group1,13595.0,0.84663,11344.0,32181.2556
16,Group1,13642.0,0.846643,11312.0,32222.2379
16,Group2,4093.0,0.871564,3488.0,657.1768
16,Group2,4092.0,0.867783,3472.0,32187.7897
16,Group2,4093.0,0.871564,3488.0,1097.4643
16,Group2,4093.0,0.871564,3488.0,32291.391
16,Group1,13509.0,0.848098,11440.0,32116.2725
16,Group2,4093.0,0.871564,3488.0,32231.9225
16,Group1,13308.0,0.843762,11152.0,32050.4982
16,Group2,4015.0,0.865197,3376.0,32124.8142
16,Group2,4093.0,0.871564,3488.0,32294.0597
16,Group2,4093.0,0.871564,3488.0,41998.8199
16,Group1,15728.0,0.869023,13648.0,38490.127
16,Group1,15897.0,0.86697,13360.0,51502.223
16,Group1,15662.0,0.867922,13504.0,38661.8789
16,Group2,4849.0,0.885609,4080.0,38436.7797
16,Group1,15733.0,0.869287,13600.0,5708.7871
16,Group2,4849.0,0.885609,4080.0,38624.0041
16,Group1,15599.0,0.865794,13296.0,51510.6038
16,Group1,15979.0,0.869743,13648.0,38655.2181
16,Group1,15602.0,0.865625,13296.0,51560.2993
16,Group2,4848.0,0.885801,4080.0,51490.1684
16,Group2,4849.0,0.885609,4080.0,38492.2088
16,Group2,4848.0,0.885801,4080.0,38633.8819
16,Group2,4848.0,0.885801,4080.0,38615.2299
16,Group2,4609.0,0.883197,4000.0,38616.7339
16,Group2,4849.0,0.885609,4080.0,38532.6614
16,Group1,15978.0,0.869798,13648.0,38536.327
16,Group1,18037.0,0.886572,15984.0,42491.9864
16,Group1,17792.0,0.882996,15584.0,42432.1612
16,Group2,5505.0,0.90414,4848.0,42694.6708
16,Group2,5431.0,0.899473,4608.0,1009.3659
16,Group2,5506.0,0.903972,4848.0,42546.7047
16,Group2,5505.0,0.90414,4848.0,42594.8492
16,Group2,5506.0,0.903972,4848.0,1635.2543
16,Group1,18032.0,0.885273,15888.0,55260.1896
16,Group2,5505.0,0.90414,4848.0,42487.9017
16,Group1,17955.0,0.884372,15664.0,42697.7313
16,Group1,17810.0,0.88539,15744.0,42598.2641
16,Group2,5504.0,0.996829,5344.0,42656.2832
16,Group1,17795.0,0.883753,15600.0,42538.6048
16,Group2,5505.0,0.90414,4848.0,42424.9757
16,Group1,18035.0,0.88667,15984.0,42647.0953
16,Group1,19931.0,0.896548,17792.0,51284.8379
16,Group2,6105.0,0.914438,5504.0,51252.4624
16,Group1,20099.0,0.89765,18032.0,51145.3798
16,Group1,20097.0,0.89774,18032.0,60124.5477
16,Group1,20116.0,0.897487,18000.0,51243.0897
16,Group1,20056.0,0.898265,17968.0,51080.2483
16,Group1,20159.0,0.897919,18032.0,51282.1075
16,Group2,6106.0,0.914286,5504.0,866.3094
16,Group2,6105.0,0.914438,5504.0,1511.1508
16,Group2,6106.0,0.914286,5504.0,51219.0736
16,Group2,6105.0,0.914438,5504.0,51223.8551
16,Group1,19928.0,0.896684,17792.0,51138.3666
8,Group1,840.0,0.0,0.0,311.6394
8,Group2,840.0,0.0,832.0,397.2998
8,Group2,50.0,0.0,0.0,80.5549
8,Group1,636.0,0.0,0.0,396.43
8,Group1,243.0,0.0,0.0,335.6118
8,Group1,243.0,0.0,240.0,332.4369
8,Group2,50.0,0.0,48.0,304.4614
8,Group2,69.0,0.0,0.0,303.2793
8,Group1,2549.0,0.104666,240.0,1671.3262
8,Group2,703.0,0.085258,48.0,3614.6483
8,Group2,704.0,0.085106,48.0,3624.4887
8,Group1,2732.0,0.232316,624.0,3622.2212
8,Group1,2549.0,0.104666,240.0,855.3836
8,Group2,831.0,0.109777,64.0,1675.881
8,Group1,2947.0,0.287889,832.0,3612.2511
8,Group2,1386.0,0.614476,832.0,3635.8427
8,Group1,4867.0,0.568919,2720.0,7376.1338
8,Group2,1471.0,0.606691,816.0,7401.8011
8,Group2,2031.0,0.724211,1376.0,2374.0866
8,Group2,1481.0,0.565325,688.0,2376.1176
8,Group2,1481.0,0.578472,704.0,2394.8895
8,Group1,5029.0,0.589153,2944.0,1758.9184
8,Group1,4865.0,0.553284,2544.0,7403.494
8,Group1,4866.0,0.553164,2544.0,7378.5142
8,Group1,7275.0,0.709705,5024.0,10596.1153
8,Group1,6950.0,0.703297,4864.0,10622.6718
8,Group1,6926.0,0.703297,4864.0,10649.1928
8,Group2,2575.0,0.792141,2016.0,463.4276
8,Group2,2343.0,0.741562,1472.0,1078.1363
8,Group1,6925.0,0.703398,4864.0,10625.154
8,Group2,2232.0,0.737845,1472.0,1093.7945
8,Group2,2232.0,0.737845,1472.0,10651.6529
8,Group1,9352.0,0.778981,7264.0,13477.6424
8,Group1,8994.0,0.770053,6912.0,4145.4253
8,Group2,2830.0,0.809905,2224.0,4130.8449
8,Group2,3100.0,0.828747,2560.0,525.9443
8,Group2,2829.0,0.8102,2224.0,13461.2725
8,Group1,8994.0,0.771836,6928.0,13484.9888
8,Group1,9045.0,0.771641,6944.0,13455.4215
8,Group2,3029.0,0.817927,2336.0,4134.4673
8,Group1,11311.0,0.814198,8992.0,17983.6597
8,Group2,3759.0,0.853514,3024.0,5250.7343
8,Group1,11477.0,0.819505,9344.0,17951.2887
8,Group1,11195.0,0.814781,9040.0,17920.6027
8,Group1,11311.0,0.814198,8992.0,4410.0287
8,Group2,3671.0,0.854455,3088.0,5254.5669
8,Group2,3487.0,0.842357,2816.0,17958.9779
8,Group2,3488.0,0.842105,2816.0,17990.4054
8,Group1,13641.0,0.846707,11312.0,21756.4294
8,Group1,13658.0,0.848082,11472.0,21628.8452
8,Group1,13358.0,0.844394,11184.0,21691.7485
8,Group1,13642.0,0.846643,11312.0,21787.5814
8,Group2,4091.0,0.868,3472.0,21799.1334
8,Group2,4293.0,0.879944,3760.0,610.1058
8,Group2,4381.0,0.875508,3664.0,21754.847
8,Group2,4093.0,0.871564,3488.0,21687.0027
8,Group1,15978.0,0.869798,13648.0,26321.8607
8,Group2,4849.0,0.885609,4080.0,833.3614
8,Group1,15895.0,0.867082,13360.0,26355.9575
8,Group1,15731.0,0.868857,13648.0,26364.9388
8,Group2,4910.0,0.892032,4288.0,26326.0605
8,Group2,4981.0,0.892704,4368.0,26299.0384
8,Group2,4847.0,0.885993,4080.0,26303.742
8,Group1,15979.0,0.869743,13648.0,26264.6321
8,Group1,18030.0,0.885372,15888.0,27719.8574
8,Group1,18010.0,0.88454,15728.0,27774.5835
8,Group2,5667.0,0.905605,4912.0,27813.8731
8,Group2,5506.0,0.903972,4848.0,27818.5211
8,Group1,18036.0,0.886621,15984.0,27847.0556
8,Group2,5522.0,0.905715,4976.0,27769.7756
8,Group2,5504.0,0.904309,4848.0,27843.4831
8,Group1,18035.0,0.88667,15984.0,6288.0154
8,Group1,20119.0,0.999452,20048.0,23696.6473
8,Group1,20157.0,0.898008,18032.0,23588.2193
8,Group1,20097.0,0.89774,18032.0,23648.3372
8,Group2,6106.0,0.914286,5504.0,870.8962
8,Group2,6104.0,0.91459,5504.0,23538.499
8,Group1,20098.0,0.897695,18032.0,23544.3589
8,Group2,6234.0,0.916357,5664.0,23597.1445
8,Group2,6124.0,0.914664,5520.0,23643.814
16,Group1,840.0,0.0,832.0,391.6327
16,Group2,50.0,0.0,0.0,407.7531
16,Group2,50.0,0.0,48.0,386.5409
16,Group1,69.0,0.0,0.0,400.4071
16,Group1,50.0,0.0,48.0,388.7814
16,Group2,50.0,0.0,48.0,383.0211
16,Group1,50.0,0.0,48.0,383.7442
16,Group1,636.0,0.0,0.0,368.0543
16,Group2,50.0,0.0,48.0,391.4797
16,Group1,243.0,0.0,0.0,424.8218
16,Group1,243.0,0.0,240.0,388.7113
16,Group2,50.0,0.0,48.0,397.9168
16,Group2,49.0,0.0,48.0,405.207
16,Group2,47.0,0.0,0.0,379.1529
16,Group2,50.0,0.0,48.0,366.3851
16,Group1,840.0,0.0,0.0,310.0399
16,Group1,2921.0,0.287989,832.0,6904.7782
16,Group1,2946.0,0.287989,832.0,6568.7645
16,Group2,613.0,0.057041,32.0,1711.4078
16,Group2,704.0,0.085106,48.0,6609.3432
16,Group1,2367.0,0.030203,64.0,1713.0472
16,Group1,2543.0,0.104941,240.0,1708.9985
16,Group1,2549.0,0.104666,240.0,6606.4485
16,Group1,2732.0,0.232316,624.0,6572.6675
16,Group1,2240.0,0.022857,48.0,6578.6019
16,Group1,2240.0,0.022857,48.0,6612.5163
16,Group2,704.0,0.113475,64.0,6584.2684
16,Group2,703.0,0.085258,48.0,6597.8185
16,Group2,704.0,0.085106,48.0,6601.2388
16,Group2,704.0,0.085106,48.0,6576.6551
16,Group2,704.0,0.085106,48.0,239.2808
16,Group2,704.0,0.085106,48.0,6598.774
16,Group1,5028.0,0.589271,2944.0,1821.2737
16,Group1,4543.0,0.532488,2352.0,14660.0048
16,Group2,1481.0,0.578472,704.0,7271.9543
16,Group2,1482.0,0.577997,704.0,14621.3806
16,Group2,1481.0,0.565325,688.0,14661.466
16,Group1,4868.0,0.5688,2720.0,14619.6979
16,Group1,5101.0,0.585915,2912.0,7295.9989
16,Group2,1482.0,0.577997,704.0,7292.4173
16,Group2,1482.0,0.577997,704.0,14650.2798
16,Group1,4866.0,0.553164,2544.0,14624.3618
16,Group1,4554.0,0.522145,2240.0,14653.3841
16,Group1,4860.0,0.553886,2544.0,7309.4836
16,Group2,1482.0,0.577997,704.0,14627.9778
16,Group1,4554.0,0.522145,2240.0,7319.3914
16,Group2,1269.0,0.539485,608.0,14645.9805
16,Group2,1480.0,0.578947,704.0,7273.2824
16,Group1,6926.0,0.703297,4864.0,20148.3999
16,Group2,2233.0,0.737475,1472.0,5676.8781
16,Group2,2230.0,0.738585,1472.0,20110.123
16,Group2,2004.0,0.70852,1264.0,20125.7102
16,Group2,2232.0,0.737845,1472.0,20038.1859
16,Group1,7274.0,0.709805,5024.0,5636.6277
16,Group1,6951.0,0.686789,4528.0,20056.9246
16,Group1,6841.0,0.688068,4544.0,20086.242
16,Group1,7181.0,0.711509,5088.0,2548.9092
16,Group1,6841.0,0.688068,4544.0,21669.5251
16,Group2,2232.0,0.737845,1472.0,20114.3731
16,Group1,6952.0,0.703093,4864.0,20122.0328
16,Group1,6920.0,0.701592,4848.0,20037.3157
16,Group2,2233.0,0.737475,1472.0,20088.1027
16,Group2,2233.0,0.737475,1472.0,20064.6936
16,Group2,2233.0,0.737475,1472.0,5675.4184
16,Group1,9174.0,0.77147,6944.0,22979.2227
16,Group2,2830.0,0.809905,2224.0,23012.1325
16,Group1,8975.0,0.768418,6832.0,22915.4741
16,Group1,9242.0,0.776514,7168.0,23008.2447
16,Group1,8994.0,0.770053,6912.0,23049.5109
16,Group1,8975.0,0.768418,6832.0,27094.343
16,Group1,9351.0,0.779065,7264.0,23042.4265
16,Group2,2831.0,0.80961,2224.0,1100.9498
16,Group2,2830.0,0.809905,2224.0,1101.9583
