exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,computation_tokens,prefill_ms,first_token_ts,queued_ts,scheduled_ts,batch_size_filtered,batch_total_computation_tokens,batch_total_input_tokens,batch_estimated_prefill_rounds_ratio,batch_first_token_spread_ms,time_from_batch_first_token_ms
exp1,3,11,Group1,0.0344,1234.0,448.0,786.0,359.5771,132030.3607115,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,0.0
exp1,3,26,Group2,0.026,533.0,480.0,53.0,1058.5761999999997,132031.0612022,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,700.4907000227831
exp1,3,6,Group1,0.0194,1099.0,960.0,139.0,1048.7057000000002,132031.0493251,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,688.6136000102852
exp1,3,8,Group1,0.4472,1055.0,432.0,623.0,6041.3353,132036.0425825,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5681.871000007959
exp1,3,27,Group2,0.1644,1339.0,304.0,1035.0,5977.6128,132035.9804772,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5619.765700015705
exp1,3,18,Group2,0.4032,901.0,656.0,245.0,6036.412600000001,132036.0386158,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5677.904300013324
exp1,3,29,Group2,0.1991,1848.0,816.0,1032.0,5989.8617,132035.99296079998,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5632.24929998978
exp1,3,10,Group1,0.0432,1371.0,352.0,1019.0,1072.9060000000002,132031.07394919998,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,713.2376999943517
exp1,3,3,Group1,0.4225,2090.0,784.0,1306.0,6047.221399999999,132036.04794390002,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5687.2324000287335
exp1,3,23,Group2,0.1316,1500.0,464.0,1036.0,5965.3846,132035.9678162,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5607.104700000491
exp1,3,28,Group2,0.25,2075.0,1040.0,1035.0,6001.564399999999,132036.00461439998,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5643.902899988461
exp1,3,14,Group1,0.0132,1936.0,640.0,1296.0,1045.9290999999998,132031.0473423,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,686.6308000171557
exp1,3,24,Group2,0.0986,2069.0,1024.0,1045.0,8161.531800000001,132038.1640304,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,7803.318899997976
exp1,3,12,Group1,0.2156,1845.0,544.0,1301.0,5992.454699999999,132035.9938703,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5633.158800017554
exp1,3,9,Group1,0.2799,762.0,240.0,522.0,6006.1988,132036.00737870001,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5646.66720002424
exp1,3,31,Group2,0.3478,2071.0,1024.0,1047.0,6029.9937,132036.0334415,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5672.730000020238
exp1,3,21,Group2,0.1151,2072.0,1024.0,1048.0,5964.331999999999,132035.96654710002,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5605.835600028513
exp1,3,4,Group1,0.3649,2031.0,736.0,1295.0,6023.696099999999,132036.024461,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5663.749500003178
exp1,3,5,Group1,0.2964,1486.0,336.0,1150.0,6007.2196,132036.008016,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5647.304500016617
exp1,3,19,Group2,0.3306,2064.0,1024.0,1040.0,6026.7806,132036.0290112,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5668.299700017087
exp1,3,17,Group2,0.1808,274.0,240.0,34.0,5986.4247,132035.98830549998,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5627.593999990495
exp1,3,30,Group2,0.0068,268.0,208.0,60.0,1035.5502000000001,132031.038557,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,677.8455000021495
exp1,3,25,Group2,0.2326,1724.0,688.0,1036.0,5994.5326,132035.9972652,0.0,0.0,27,20877.0,38621.0,2.5484619140625,7803.318899997976,5636.553700023796
exp1,4,13,Group1,0.1902,3768.0,2496.0,1272.0,8507.193299999999,132048.5086835,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8247.423099994194
exp1,4,30,Group2,0.0069,323.0,256.0,67.0,979.6809,132040.9826878,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,721.4273999852594
exp1,4,17,Group2,0.2252,294.0,272.0,22.0,8503.2902,132048.5052154,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8243.954999983544
exp1,4,27,Group2,0.2597,1769.0,1328.0,441.0,8510.534499999998,132048.51349420001,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8252.233800012618
exp1,4,25,Group2,0.2425,1961.0,1712.0,249.0,8512.2364,132048.5149789,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8253.718499996467
exp1,4,11,Group1,0.2771,1727.0,1232.0,495.0,8528.1381,132048.5295152,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8268.25480000116
exp1,4,2,Group1,0.331,1252.0,992.0,260.0,8548.288600000002,132048.54881960002,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8287.559200020041
exp1,4,22,Group2,0.4864,3102.0,2064.0,1038.0,8600.9625,132048.6036489,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8342.388499993831
exp1,4,7,Group1,0.368,1007.0,592.0,415.0,8559.742,132048.56081,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8299.549599993043
exp1,4,5,Group1,0.4411,2870.0,1472.0,1398.0,8582.307,132048.58324809998,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8321.987699979218
exp1,4,31,Group2,0.1533,3103.0,2064.0,1039.0,8491.2985,132048.4945518,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8233.291399985319
exp1,4,14,Group1,0.0354,3199.0,1936.0,1263.0,12184.4868,132052.1859222,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,11924.661800003378
exp1,4,16,Group1,0.0164,3539.0,2288.0,1251.0,975.3752,132040.97699159998,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,715.7311999762896
exp1,4,18,Group2,0.1359,1368.0,896.0,472.0,8462.5738,132048.4645097,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8203.249299986055
exp1,4,9,Group1,0.0851,2025.0,752.0,1273.0,12224.9818,132052.2259669,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,11964.706500002649
exp1,4,1,Group1,0.4036,1449.0,1248.0,201.0,8568.001199999999,132048.5685048,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8307.244399999036
exp1,4,32,Group2,0.2949,2841.0,1808.0,1033.0,8532.1606,132048.53565550002,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8274.395100015681
exp1,4,4,Group1,0.1017,3067.0,2032.0,1035.0,8455.4132,132048.4559149,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8194.654499995522
exp1,4,3,Group1,0.3128,2702.0,2080.0,622.0,8545.1167,132048.5457295,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8284.46910000639
exp1,4,24,Group2,0.1732,3098.0,2064.0,1034.0,8496.1081,132048.4986813,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8237.420899997232
exp1,4,10,Group1,0.4219,2193.0,1360.0,833.0,8578.696200000002,132048.58011809998,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8318.85769998189
exp1,4,6,Group1,0.3486,1542.0,1088.0,454.0,8556.946199999998,132048.5578948,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8296.634400001494
exp1,4,15,Group1,0.0603,3394.0,2128.0,1266.0,12191.4819,132052.1930422,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,11931.781799998134
exp1,4,8,Group1,0.2078,1657.0,1040.0,617.0,8503.019,132048.50402680002,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8242.766400013352
exp1,4,19,Group2,0.1188,3093.0,2064.0,1029.0,8460.1883,132048.4622071,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8200.946700002532
exp1,4,26,Group2,0.048,951.0,528.0,423.0,258.6124,132040.2612604,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,0.0
exp1,4,21,Group2,0.0157,3103.0,2064.0,1039.0,12187.6374,132052.1897531,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,11928.492700011702
exp1,4,28,Group2,0.461,3105.0,2064.0,1041.0,8603.169,132048.60642999999,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8345.16959998291
exp1,4,29,Group2,0.3851,2879.0,1840.0,1039.0,8566.6421,132048.5699272,0.0,0.0,29,22621.0,66381.0,2.7613525390625,11964.706500002649,8308.666800003266
exp1,5,2,Group1,0.045,1517.0,1248.0,269.0,2215.1119,132052.2153569,0.0,0.0,25,20005.0,77077.0,2.4420166015625,16069.524500024272,1277.6028000225779
exp1,5,7,Group1,0.317,2032.0,992.0,1040.0,12426.3242,132062.4273412,0.0,0.0,25,20005.0,77077.0,2.4420166015625,16069.524500024272,11489.58710001898
