arrival_time_epoch_s,compressed_elapsed_ms,tenant_count,tenant_id,turn_index,blocking_ms,prefill_ms,remaining_ttft_ms,ttft_ms
1778694774.501476,1068203.257,32,16,7,975.5534,33838.4518,0.0000,34814.0052
1778694774.505873,1068207.654,32,12,7,0.5006,18904.7059,0.0000,18905.2065
1778694774.508145,1068209.926,32,30,7,975.6572,33908.6531,0.0000,34884.3103
1778694774.510784,1068212.565,32,7,7,0.4814,18887.0060,0.0000,18887.4874
1778694774.511130,1068212.911,32,1,7,0.3758,18810.4930,0.0000,18810.8688
1778694774.512472,1068214.253,32,32,7,0.2393,34923.5150,0.0000,34923.7543
1778694774.514851,1068216.632,32,5,7,975.6038,33891.1812,0.0000,34866.7850
1778694774.520287,1068222.068,32,11,7,0.2912,18759.9297,0.0000,18760.2209
1778694774.523038,1068224.819,32,22,7,0.3083,18762.1520,0.0000,18762.4603
1778694774.525165,1068226.946,32,15,7,975.5195,33814.4383,0.0000,34789.9578
1778694774.527522,1068229.303,32,14,7,975.4856,33794.2715,0.0000,34769.7571
1778694774.528245,1068230.026,32,24,7,975.5871,33866.8276,0.0000,34842.4147
1778694774.531839,1068233.620,32,4,7,975.4686,33788.8438,0.0000,34764.3124
1778694774.534040,1068235.821,32,20,7,975.5361,33835.5729,0.0000,34811.1090
1778695085.645087,1379346.868,32,29,8,0.5499,20020.4333,0.0000,20020.9832
1778695085.648289,1379350.070,32,22,8,0.5055,19997.8293,0.0000,19998.3348
1778695085.650542,1379352.323,32,9,8,61.0466,40588.1453,0.0000,40649.1919
1778695085.653139,1379354.920,32,13,8,60.9595,40502.0244,0.0000,40562.9839
1778695085.656566,1379358.347,32,24,8,0.0456,1340.2010,0.0000,1340.2466
1778695085.656973,1379358.754,32,12,8,0.4165,19934.6073,0.0000,19935.0238
1778695085.658432,1379360.213,32,10,8,60.8923,40456.0909,0.0000,40516.9832
1778695085.660750,1379362.531,32,2,8,61.0637,40593.8786,0.0000,40654.9423
1778695085.663440,1379365.221,32,18,8,60.9765,40527.6310,0.0000,40588.6075
1778695085.664959,1379366.740,32,6,8,0.3613,19893.4800,0.0000,19893.8413
1778695085.667368,1379369.149,32,32,8,0.5252,20024.8913,0.0000,20025.4165
1778695085.669383,1379371.164,32,31,8,0.4335,19942.9018,0.0000,19943.3353
1778695085.671063,1379372.844,32,1,8,0.3252,19865.7646,0.0000,19866.0898
1778695085.672352,1379374.133,32,27,8,18699.0879,25047.4288,0.0000,43746.5167
1778695085.674415,1379376.196,32,7,8,0.3992,19922.8058,0.0000,19923.2050
1778695085.677492,1379379.273,32,17,8,0.4681,19974.8888,0.0000,19975.3569
1778695085.679218,1379380.999,32,3,8,0.4864,19990.1944,0.0000,19990.6808
1778695085.681681,1379383.462,32,4,8,0.2726,40679.8132,0.0000,40680.0858
1778695085.684047,1379385.828,32,28,8,0.4503,19971.9577,0.0000,19972.4080
1778695085.688438,1379390.219,32,16,8,0.3790,19918.6749,0.0000,19919.0539
1778695085.690967,1379392.748,32,14,8,60.9426,40497.0657,0.0000,40558.0083
1778695085.691356,1379393.137,32,20,8,0.2905,19828.1854,0.0000,19828.4759
1778695085.693323,1379395.104,32,5,8,61.0297,40558.6385,0.0000,40619.6682
1778695085.697243,1379399.024,32,25,8,0.3076,19861.5978,0.0000,19861.9054
1778695085.699376,1379401.157,32,23,8,0.3438,19886.5230,0.0000,19886.8668
1778695085.702258,1379404.039,32,11,8,61.0124,40559.3115,0.0000,40620.3239
1778695085.702751,1379404.532,32,21,8,60.9937,40531.2768,0.0000,40592.2705
1778695085.704313,1379406.094,32,19,8,60.8589,43690.4285,0.0000,43751.2874
1778695085.707403,1379409.184,32,8,8,60.8757,40454.3682,0.0000,40515.2439
1778695085.710762,1379412.543,32,26,8,60.9091,40479.0100,0.0000,40539.9191
1778695085.716052,1379417.833,32,30,8,60.9257,40479.7573,0.0000,40540.6830
1778695085.718221,1379420.002,32,15,8,18699.0708,25029.5156,0.0000,43728.5864
1778695417.414850,1711116.631,32,27,9,0.5164,27560.0837,0.0000,27560.6001
1778695417.417651,1711119.432,32,22,9,0.4946,27532.8090,0.0000,27533.3036
1778695417.420016,1711121.797,32,30,9,0.3795,27411.9522,0.0000,27412.3317
1778695417.422723,1711124.504,32,24,9,25652.6434,32260.2993,0.0000,57912.9427
1778695417.425774,1711127.555,32,32,9,0.0093,5486.3767,0.0000,5486.3860
1778695417.426270,1711128.051,32,1,9,0.3229,27397.3665,0.0000,27397.6894
1778695417.426621,1711128.402,32,12,9,0.0219,5488.4933,0.0000,5488.5152
1778695417.428054,1711129.835,32,10,9,0.3049,27359.3076,0.0000,27359.6125
1778695417.433061,1711134.842,32,21,9,25652.6608,32296.1202,0.0000,57948.7810
1778695417.437544,1711139.325,32,26,9,0.0462,1968.8104,0.0000,1968.8566
1778695417.439734,1711141.515,32,23,9,0.3615,27416.1683,0.0000,27416.5298
1778695417.440077,1711141.858,32,15,9,0.4400,27481.6019,0.0000,27482.0419
1778695417.442101,1711143.882,32,5,9,3552.3898,40402.0057,0.0000,43954.3955
1778695417.444929,1711146.710,32,2,9,0.5449,27561.0591,0.0000,27561.6040
1778695417.445292,1711147.073,32,4,9,0.2706,43956.6999,0.0000,43956.9705
1778695417.447035,1711148.816,32,13,9,3552.2826,40308.2590,0.0000,43860.5416
1778695417.450461,1711152.242,32,17,9,0.2880,27351.4337,0.0000,27351.7217
1778695417.452637,1711154.418,32,3,9,0.3442,27391.5830,0.0000,27391.9272
1778695417.453990,1711155.771,32,11,9,0.4200,27457.3554,0.0000,27457.7754
1778695417.457083,1711158.864,32,28,9,3552.3350,40339.9400,0.0000,43892.2750
1778695417.459064,1711160.845,32,31,9,25652.5926,41906.5541,0.0000,67559.1467
1778695417.462996,1711164.777,32,7,9,3552.3725,40379.8636,0.0000,43932.2361
1778695417.465867,1711167.648,32,19,9,0.3971,27450.8572,0.0000,27451.2543
1778695417.470834,1711172.615,32,18,9,3552.3550,40378.0721,0.0000,43930.4271
1778695417.471862,1711173.643,32,9,9,3552.3178,40333.8135,0.0000,43886.1313
1778695417.474940,1711176.721,32,29,9,3552.2650,54402.4836,0.0000,57954.7486
1778695417.479650,1711181.431,32,16,9,0.4759,27530.4759,0.0000,27530.9518
1778695417.480921,1711182.702,32,25,9,0.4577,27487.1851,0.0000,27487.6428
1778695417.484113,1711185.894,32,20,9,25652.6099,32225.7662,0.0000,57878.3761
1778695417.486001,1711187.782,32,8,9,25652.6265,32258.4343,0.0000,57911.0608
1778695417.489666,1711191.447,32,6,9,3552.3003,40305.0170,0.0000,43857.3173
1778695417.492375,1711194.156,32,14,9,42287.1998,25244.2089,0.0000,67531.4087
1778695820.092980,2113794.761,32,14,10,16998.3984,39802.0884,0.0000,56800.4868
1778695820.096043,2113797.824,32,4,10,16998.3815,39793.3640,0.0000,56791.7455
1778695820.098453,2113800.234,32,17,10,0.0407,1983.5361,0.0000,1983.5768
1778695820.101313,2113803.094,32,10,10,0.5401,18950.2381,0.0000,18950.7782
1778695820.104688,2113806.469,32,11,10,0.4259,18857.1324,0.0000,18857.5583
1778695820.107736,2113809.517,32,2,10,45.6059,37902.9637,0.0000,37948.5696
1778695820.109859,2113811.640,32,29,10,36121.9742,50815.3788,0.0000,86937.3530
1778695820.110607,2113812.388,32,18,10,36122.0069,38286.4620,0.0000,74408.4689
1778695820.112272,2113814.053,32,24,10,0.5152,18939.5710,0.0000,18940.0862
1778695820.115302,2113817.083,32,15,10,72837.9020,31425.7125,0.0000,104263.6145
1778695820.116173,2113817.954,32,8,10,346808.4559,29336.6907,0.0000,376145.1466
1778695820.119739,2113821.520,32,6,10,45.5514,37866.5722,0.0000,37912.1236
1778695820.122530,2113824.311,32,25,10,36122.0237,38320.9075,0.0000,74442.9312
1778695820.125548,2113827.329,32,30,10,45.5690,37872.4546,0.0000,37918.0236
1778695820.128452,2113830.233,32,23,10,16998.4154,39833.1209,0.0000,56831.5363
1778695820.129210,2113830.991,32,12,10,45.5346,56791.7560,0.0000,56837.2906
