exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,computation_tokens,prefill_ms,first_token_ts,queued_ts,scheduled_ts,batch_size_filtered,batch_total_computation_tokens,batch_total_input_tokens,batch_estimated_prefill_rounds_ratio,batch_first_token_spread_ms,time_from_batch_first_token_ms
exp1,8,16,Group1,0.5014,15361.0,13216.0,2145.0,15210.695690999273,75741.976988673,75726.76579154,75726.766292982,7,24047.0,54671.0,2.9354248046875,42308.98453599366,15211.390044001746
exp1,9,18,Group2,0.0163,5430.0,48.0,5382.0,24152.778114003013,76590.385156159,76566.232361733,76566.232378045,10,40119.0,104279.0,4.8973388671875,47259.00546099001,9285.628729994642
exp1,9,17,Group2,0.5234,5431.0,4608.0,823.0,30199.96504401206,76611.300255748,76581.09976735,76581.100290704,10,40119.0,104279.0,4.8973388671875,47259.00546099001,30200.728319003247
exp1,9,23,Group2,0.0264,5432.0,48.0,5384.0,24152.778114003013,76590.385156159,76566.232351605,76566.232378045,10,40119.0,104279.0,4.8973388671875,47259.00546099001,9285.628729994642
exp1,9,19,Group2,0.5061,5429.0,48.0,5381.0,30199.96504401206,76611.300255748,76581.099784638,76581.100290704,10,40119.0,104279.0,4.8973388671875,47259.00546099001,30200.728319003247
exp1,9,12,Group1,0.4892,17794.0,15600.0,2194.0,47258.242185998824,76628.35853289,76581.099801457,76581.100290704,10,40119.0,104279.0,4.8973388671875,47259.00546099001,47259.00546099001
exp1,9,7,Group1,0.0479,17795.0,12128.0,5667.0,14912.44744200958,76581.099527429,76566.187032097,76566.187079987,10,40119.0,104279.0,4.8973388671875,47259.00546099001,0.0
exp1,9,5,Group1,0.5604,17956.0,15664.0,2292.0,30199.96504401206,76611.300255748,76581.099730296,76581.100290704,10,40119.0,104279.0,4.8973388671875,47259.00546099001,30200.728319003247
exp1,9,3,Group1,0.5419,18037.0,15968.0,2069.0,30199.96504401206,76611.300255748,76581.099748819,76581.100290704,10,40119.0,104279.0,4.8973388671875,47259.00546099001,30200.728319003247
exp1,9,27,Group2,0.0088,5565.0,0.0,5565.0,24152.778114003013,76590.385156159,76566.232369267,76566.232378045,10,40119.0,104279.0,4.8973388671875,47259.00546099001,9285.628729994642
